date,department,project_count,avg_project_duration,budget_k,employee_count,actual_spend_k,revenue_k,customer_satisfaction,project_success_rate,risk_level
2020-02-17,Operations,8,45,384.3,179,354.45,942.9,85.2,78.4,medium
2020-02-18,Finance,4,34,412.71,33,258.11,820.48,99.6,100.0,low
2020-02-20,Sales,8,23,248.34,15,200.99,509.74,90.9,86.8,medium
2020-02-22,Operations,3,26,302.08,184,189.31,876.94,100.0,100.0,low
2020-02-22,HR,8,27,467.38,62,336.17,761.71,97.3,93.3,medium
2020-02-22,HR,4,20,220.22,48,165.98,330.38,93.7,100.0,low
2020-02-23,IT,4,35,336.83,86,388.83,789.15,77.0,75.5,medium
2020-02-23,HR,10,24,227.6,39,206.21,285.89,84.9,85.6,medium
2020-02-27,Operations,7,16,59.23,163,44.53,138.74,88.9,100.0,medium
2020-02-27,R&D,8,39,492.91,149,612.89,1568.21,67.1,77.7,high
2020-02-27,HR,5,45,408.28,41,486.19,500.04,76.1,79.1,medium
2020-02-27,IT,10,35,423.81,61,679.56,850.3,55.6,64.4,high
2020-02-28,Marketing,7,24,309.1,95,295.83,571.53,82.9,85.4,medium
2020-03-02,Finance,6,21,285.47,174,276.86,551.86,82.4,100.0,low
2020-03-03,HR,6,37,82.32,80,85.54,145.47,72.0,80.6,low
2020-03-05,IT,6,25,70.82,109,68.59,188.44,74.1,87.2,low
2020-03-09,HR,4,31,134.77,115,101.76,218.6,100.0,100.0,low
2020-03-09,Finance,4,25,300.6,14,184.31,440.87,100.0,100.0,low
2020-03-10,HR,5,27,109.43,97,81.04,180.44,88.5,96.1,low
2020-03-12,Sales,7,23,313.79,36,230.11,694.76,98.2,88.5,medium
2020-03-14,Sales,6,34,314.03,80,399.79,747.87,61.0,74.6,high
2020-03-15,Operations,6,25,112.22,126,126.77,298.39,74.6,80.2,medium
2020-03-16,HR,6,22,65.62,166,52.48,87.07,95.2,91.1,low
2020-03-16,IT,5,31,214.91,45,250.27,531.26,67.6,81.7,medium
2020-03-20,Operations,5,15,335.54,32,290.25,859.49,97.2,92.1,low
2020-03-21,Marketing,9,29,303.07,60,398.82,605.46,65.3,65.3,high
2020-03-21,R&D,8,50,121.39,74,152.28,281.33,66.1,74.1,high
2020-03-26,Finance,3,41,116.83,182,94.27,176.88,88.6,91.7,low
2020-03-26,R&D,5,50,414.56,53,544.61,1230.53,66.4,79.0,high
2020-03-28,Operations,4,31,475.6,31,346.35,1326.42,89.5,97.1,low
2020-03-30,R&D,5,18,397.52,90,254.97,1277.06,93.3,93.6,low
2020-03-30,R&D,6,22,278.44,133,252.31,821.1,85.1,87.5,low
2020-03-31,Operations,5,24,315.64,49,276.74,668.72,89.1,94.7,low
2020-04-01,IT,9,36,260.97,98,332.32,585.98,67.0,68.9,high
2020-04-01,Sales,4,23,496.51,19,352.05,987.9,97.5,100.0,low
2020-04-03,Sales,4,33,229.35,131,233.64,457.04,81.2,93.0,low
2020-04-05,R&D,9,20,99.72,95,112.32,258.73,79.2,81.7,medium
2020-04-05,R&D,4,31,60.02,22,43.35,177.71,98.0,95.1,low
2020-04-05,Finance,10,39,311.47,173,486.57,545.75,56.5,72.2,high
2020-04-08,Sales,7,26,211.0,69,239.05,419.85,69.3,79.3,medium
2020-04-08,Marketing,7,35,270.7,60,293.64,408.61,77.7,79.0,medium
2020-04-08,Operations,6,5,317.27,85,156.85,768.02,100.0,100.0,low
2020-04-08,Operations,9,22,95.49,168,111.54,260.63,78.6,66.9,medium
2020-04-08,Finance,4,24,193.78,116,91.62,362.64,100.0,100.0,low
2020-04-08,Sales,7,43,207.91,31,179.68,433.17,82.4,92.2,medium
2020-04-08,R&D,10,41,207.43,158,234.47,560.3,71.2,87.4,medium
2020-04-09,HR,10,27,323.47,81,426.71,482.78,68.6,75.3,high
2020-04-09,IT,5,37,221.64,16,307.32,530.39,60.8,66.5,high
2020-04-12,Finance,7,19,126.3,80,59.79,263.82,97.1,100.0,medium
2020-04-12,Finance,3,20,59.13,170,60.52,96.87,75.6,83.9,low
2020-04-13,Sales,11,30,88.9,75,113.3,227.64,60.9,75.8,high
2020-04-13,Operations,10,41,181.92,187,259.87,512.8,64.3,61.9,high
2020-04-15,Marketing,6,55,385.81,62,527.04,585.99,61.1,77.5,high
2020-04-15,Operations,5,37,319.35,99,321.41,697.73,80.4,88.8,low
2020-04-16,Operations,6,32,106.11,158,86.57,292.11,87.2,85.7,low
2020-04-18,Marketing,9,32,230.96,195,301.87,404.71,66.2,58.2,high
2020-04-21,Marketing,10,20,461.08,17,477.45,917.42,78.8,87.4,medium
2020-04-22,Sales,2,28,269.52,54,264.68,739.9,71.0,83.0,low
2020-04-22,IT,5,19,197.96,116,159.12,440.0,99.6,93.6,low
2020-04-22,Sales,7,34,97.66,91,83.0,224.77,83.8,94.0,medium
2020-04-24,Marketing,4,21,302.16,157,125.08,582.65,100.0,100.0,low
2020-04-25,Operations,4,30,253.52,90,265.31,581.54,76.3,92.2,low
2020-04-26,R&D,13,48,158.71,131,240.63,494.51,61.6,65.1,high
2020-04-26,Operations,4,50,100.21,60,120.47,313.81,76.3,76.0,high
2020-04-27,Marketing,6,42,427.64,85,476.33,619.02,76.3,81.8,medium
2020-04-29,Sales,2,45,287.25,150,222.49,581.43,90.3,100.0,low
2020-04-29,Operations,7,23,358.96,135,210.97,1063.88,97.2,100.0,medium
2020-05-01,Marketing,6,49,495.28,48,495.74,919.33,70.2,80.7,low
2020-05-01,IT,5,21,407.13,105,356.39,996.23,85.2,96.7,low
2020-05-02,R&D,4,27,85.78,116,61.2,199.76,97.6,95.7,low
2020-05-03,HR,5,18,493.73,74,220.28,630.29,100.0,100.0,low
2020-05-04,R&D,5,26,254.4,140,161.03,585.51,99.6,94.6,low
2020-05-05,HR,4,25,125.29,125,102.18,214.82,88.5,96.6,low
2020-05-06,Sales,8,23,138.07,170,135.28,366.6,83.6,87.1,medium
2020-05-07,HR,4,49,210.37,133,205.95,350.36,79.3,86.0,low
2020-05-08,R&D,10,28,200.22,146,244.8,443.83,78.3,66.4,high
2020-05-09,IT,2,34,53.9,25,55.52,123.89,66.9,88.4,low
2020-05-10,Sales,8,38,499.5,74,502.75,1217.74,72.7,83.0,medium
2020-05-10,Sales,7,28,76.65,137,78.15,189.17,75.4,84.5,medium
2020-05-10,HR,4,55,451.47,170,373.9,731.84,83.1,97.1,low
2020-05-11,Sales,1,33,290.71,195,212.51,745.47,91.5,99.0,low
2020-05-12,Sales,5,17,451.85,126,375.98,881.05,84.1,96.6,low
2020-05-13,Operations,11,29,299.69,194,407.62,697.75,63.0,66.8,high
2020-05-14,Marketing,4,25,463.1,191,389.76,946.96,82.5,90.9,low
2020-05-14,R&D,9,49,424.49,195,557.59,1050.42,62.5,72.9,high
2020-05-18,HR,2,37,386.29,16,327.49,485.16,91.9,100.0,low
2020-05-22,Sales,7,40,119.33,194,152.59,265.22,63.0,73.0,high
2020-05-22,HR,4,25,280.41,185,258.17,500.15,81.5,90.9,low
2020-05-23,Sales,6,35,96.0,16,90.71,204.36,81.0,88.0,low
2020-05-23,IT,6,22,121.14,37,120.97,234.77,75.7,85.6,low
2020-05-23,Operations,9,20,68.82,89,77.52,158.73,69.9,76.2,medium
2020-05-23,Sales,10,27,53.69,124,69.67,115.96,68.6,78.2,high
2020-05-24,Marketing,7,29,414.73,43,383.97,877.91,77.4,95.9,medium
2020-05-26,Sales,3,26,476.17,57,309.99,934.92,90.2,100.0,low
2020-05-27,Operations,5,34,277.19,199,251.98,603.37,87.8,90.5,low
2020-05-28,Sales,7,37,405.45,65,464.02,828.41,75.1,78.1,medium
2020-05-29,Marketing,6,48,157.44,179,152.88,306.63,83.1,90.1,low
2020-05-30,Operations,5,27,157.51,41,131.3,452.69,80.0,98.9,low
2020-05-30,IT,8,31,248.34,67,219.24,592.74,80.6,92.4,medium
2020-05-31,Operations,9,39,446.75,187,632.63,992.91,58.5,72.8,high
2020-06-01,Operations,4,22,332.38,103,291.12,790.27,82.9,90.8,low
2020-06-02,Operations,6,9,390.11,80,309.44,1217.41,97.2,89.2,low
2020-06-03,Marketing,4,41,322.4,182,415.26,522.73,62.1,74.7,high
2020-06-05,IT,4,33,442.18,52,606.58,1122.27,65.1,71.7,high
2020-06-06,Finance,4,37,61.83,178,64.69,101.94,71.1,79.0,low
2020-06-08,IT,6,30,65.42,128,55.44,141.26,91.0,92.6,low
2020-06-08,HR,5,29,355.91,26,318.01,438.56,91.6,88.2,low
2020-06-08,Operations,4,37,447.83,66,437.65,1349.95,75.7,95.2,low
2020-06-09,Marketing,2,22,484.08,130,270.65,915.18,100.0,99.4,low
2020-06-09,R&D,2,27,430.95,11,367.5,1005.12,93.5,95.6,low
2020-06-09,R&D,6,11,129.7,72,111.71,366.28,86.5,83.3,low
2020-06-10,Marketing,8,32,192.65,186,207.87,361.96,82.5,83.9,medium
2020-06-11,Operations,7,24,373.63,90,287.74,1030.31,95.6,100.0,medium
2020-06-11,Sales,6,36,336.97,24,381.51,630.34,76.6,71.9,medium
2020-06-13,Operations,8,21,418.24,46,467.88,1066.13,72.1,74.5,medium
2020-06-15,Finance,4,26,295.72,185,274.07,451.94,82.6,84.6,low
2020-06-15,Operations,6,28,54.66,142,55.67,116.85,79.6,82.1,low
2020-06-16,Operations,6,35,392.31,157,404.6,974.65,78.5,88.4,low
2020-06-16,R&D,6,5,126.62,118,93.2,366.86,93.5,91.6,low
2020-06-18,IT,5,38,334.82,128,472.28,951.9,57.6,70.9,high
2020-06-19,R&D,5,30,102.36,171,27.68,315.83,100.0,100.0,low
2020-06-20,Finance,5,32,315.67,43,376.95,622.54,70.9,82.0,medium
2020-06-21,IT,3,39,352.37,72,164.68,1000.36,100.0,100.0,low
2020-06-21,IT,6,36,193.17,153,200.99,478.03,80.3,76.0,low
2020-06-22,Marketing,8,28,318.18,139,288.19,544.68,87.9,80.2,medium
2020-06-24,Sales,8,51,332.29,12,487.25,664.54,55.2,62.7,high
2020-06-25,Finance,4,35,380.13,105,236.83,580.01,96.7,100.0,low
2020-06-26,Operations,4,35,394.4,193,468.07,1196.8,67.8,82.8,medium
2020-06-28,Finance,9,43,169.39,77,221.97,344.3,60.7,74.6,high
2020-06-29,IT,1,20,208.06,37,128.52,464.22,99.9,100.0,low
2020-06-30,R&D,6,28,320.61,78,220.13,827.9,89.7,100.0,low
2020-07-02,Marketing,5,24,333.79,139,513.12,498.56,55.0,61.7,high
2020-07-04,HR,8,18,162.76,115,167.15,255.63,83.9,88.9,medium
2020-07-05,R&D,7,47,336.39,111,324.69,1059.0,84.4,89.4,medium
2020-07-06,Finance,4,24,402.49,86,321.49,790.99,80.7,89.9,low
2020-07-07,R&D,10,47,98.73,137,131.14,302.69,66.2,71.5,high
2020-07-08,Sales,6,35,129.49,169,150.18,306.21,77.9,81.2,medium
2020-07-08,Operations,9,29,379.05,90,433.36,1093.6,78.6,80.4,medium
2020-07-08,Finance,5,29,444.58,35,413.52,713.99,80.2,84.2,low
2020-07-08,Marketing,10,17,383.82,161,347.18,659.89,83.8,86.1,medium
2020-07-08,Marketing,4,23,97.14,45,84.78,187.81,77.1,88.9,low
2020-07-09,Marketing,9,31,57.25,110,66.8,82.27,74.6,73.5,medium
2020-07-09,Sales,5,23,443.84,114,241.87,1058.58,100.0,100.0,low
2020-07-10,HR,9,40,101.1,48,131.66,128.86,66.1,70.9,high
2020-07-10,Finance,7,12,427.89,39,500.04,831.9,73.9,76.4,medium
2020-07-10,HR,3,42,301.38,161,348.85,467.77,80.2,82.7,medium
2020-07-12,HR,5,33,403.03,112,438.55,708.18,79.0,74.8,medium
2020-07-13,IT,12,34,330.53,71,387.97,752.8,80.2,80.1,high
2020-07-14,R&D,5,18,226.3,101,255.4,536.54,69.5,85.9,medium
2020-07-14,R&D,5,57,417.84,157,584.71,1183.55,62.6,76.3,high
2020-07-16,Marketing,5,37,227.52,21,264.39,379.38,69.8,83.4,medium
2020-07-19,Sales,9,31,312.06,187,326.51,589.66,75.2,86.3,medium
2020-07-19,Operations,6,46,489.43,37,598.86,1278.93,59.4,71.4,high
2020-07-19,HR,3,44,460.34,122,569.97,660.15,63.6,79.2,high
2020-07-20,HR,4,21,432.49,51,434.09,559.03,73.8,90.7,low
2020-07-21,Sales,6,65,269.47,111,356.05,548.33,70.1,83.7,high
2020-07-21,HR,3,17,181.12,167,141.08,302.81,86.9,93.0,low
2020-07-22,IT,9,26,443.8,15,320.68,899.78,91.8,96.7,medium
2020-07-24,Operations,3,45,423.35,153,432.11,1093.38,78.3,95.6,low
2020-07-25,Sales,6,46,393.82,11,435.8,764.73,74.2,81.3,medium
2020-07-26,IT,9,18,456.98,56,338.62,1263.7,98.3,86.9,medium
2020-07-31,IT,9,17,226.64,175,266.33,641.1,71.2,62.9,medium
2020-08-02,IT,8,35,313.25,114,370.76,755.96,65.3,86.2,medium
2020-08-02,Marketing,7,25,493.67,35,616.57,866.21,65.5,72.5,high
2020-08-04,Marketing,4,39,458.54,120,417.07,929.14,87.1,95.5,low
2020-08-04,Sales,7,37,169.81,173,184.4,466.05,73.8,83.5,medium
2020-08-04,Sales,4,18,273.45,41,188.25,694.36,99.7,98.1,low
2020-08-05,Finance,7,21,302.89,69,207.46,438.3,91.2,95.9,medium
2020-08-05,Operations,4,29,226.37,122,188.57,673.08,85.2,97.7,low
2020-08-07,IT,9,35,112.05,184,116.93,214.72,85.5,90.9,medium
2020-08-07,R&D,4,15,494.19,59,460.82,1340.03,82.1,91.7,low
2020-08-07,Finance,4,46,152.1,57,84.79,321.73,98.0,100.0,low
2020-08-07,Finance,4,14,81.55,70,80.81,127.84,78.6,86.6,low
2020-08-10,Operations,6,34,125.7,181,146.13,353.32,65.4,84.0,medium
2020-08-10,HR,5,41,446.11,69,549.34,719.01,66.6,76.5,high
2020-08-12,Operations,11,32,115.26,172,164.93,286.21,53.2,56.3,high
2020-08-12,Finance,7,24,178.41,163,169.86,298.47,83.0,84.0,medium
2020-08-12,IT,4,50,125.18,30,141.49,308.31,66.8,79.1,medium
2020-08-13,Operations,5,48,392.3,27,437.39,1125.72,70.5,84.5,medium
2020-08-14,Finance,5,31,78.42,88,87.09,117.09,74.6,88.4,medium
2020-08-14,IT,5,17,284.37,117,268.93,795.08,86.2,87.1,low
2020-08-16,Finance,7,33,253.13,87,287.1,491.2,71.6,71.1,medium
2020-08-17,Finance,4,37,472.44,158,479.29,692.4,86.4,88.0,low
2020-08-17,Sales,5,53,179.4,49,186.87,339.09,74.8,84.6,low
2020-08-18,Sales,5,46,118.48,114,138.15,234.79,69.6,73.9,medium
2020-08-18,Operations,4,32,349.3,165,415.87,864.38,69.3,81.8,medium
2020-08-18,IT,8,34,453.41,112,497.51,950.04,67.9,84.8,medium
2020-08-20,Operations,7,21,181.73,39,187.45,516.69,93.6,83.2,medium
2020-08-20,HR,6,25,150.59,122,126.46,252.12,88.4,93.5,low
2020-08-20,Sales,5,31,274.87,115,212.05,541.31,88.2,100.0,low
2020-08-20,Operations,6,20,68.62,25,75.8,205.94,74.4,83.4,medium
2020-08-21,Sales,9,20,303.36,42,342.87,678.39,78.9,70.0,medium
2020-08-22,IT,6,26,472.6,192,532.62,1232.47,66.9,74.8,medium
2020-08-24,Marketing,4,26,52.67,27,19.45,88.8,100.0,100.0,low
2020-08-28,Marketing,6,48,241.95,41,273.95,389.25,73.5,84.6,medium
2020-08-29,R&D,9,20,293.52,164,423.17,677.36,52.2,57.4,high
2020-08-29,Sales,3,20,251.97,79,115.8,664.92,95.5,100.0,low
2020-08-30,HR,9,35,71.78,121,72.81,125.27,71.1,81.5,medium
2020-08-31,Sales,7,20,393.16,120,362.64,1005.65,69.8,80.6,medium
2020-09-02,Operations,7,44,156.57,76,182.57,333.23,70.9,76.4,medium
2020-09-03,Marketing,5,33,78.3,94,95.45,151.12,63.1,75.6,high
2020-09-03,Operations,6,56,388.76,15,435.67,914.34,74.0,84.7,medium
2020-09-07,Sales,7,36,89.82,143,99.06,194.07,71.9,81.1,medium
2020-09-08,Sales,3,20,498.71,120,418.33,995.21,88.5,97.7,low
2020-09-08,Operations,3,21,169.65,167,89.6,507.04,100.0,100.0,low
2020-09-09,Finance,6,39,229.28,182,200.75,336.4,95.8,94.1,low
2020-09-09,Finance,7,24,339.66,115,301.67,554.88,88.4,89.3,medium
2020-09-09,Operations,7,19,102.67,71,99.77,271.97,81.7,84.6,medium
2020-09-09,HR,4,28,357.75,156,264.96,510.14,98.5,100.0,low
2020-09-09,Sales,5,34,211.95,175,194.56,429.23,76.6,93.9,low
2020-09-10,Sales,5,37,479.34,143,301.42,1172.43,100.0,100.0,low
2020-09-10,IT,9,21,78.62,128,92.34,207.46,76.2,78.8,medium
2020-09-10,Sales,3,33,219.29,67,125.64,571.78,100.0,100.0,low
2020-09-12,HR,5,36,407.85,131,391.8,611.44,82.8,87.0,low
2020-09-12,Operations,4,21,279.15,33,198.18,622.21,97.5,100.0,low
2020-09-14,Finance,7,27,359.7,53,403.73,748.26,75.7,82.3,medium
2020-09-15,Marketing,5,25,428.47,120,289.8,611.3,94.1,98.7,low
2020-09-15,R&D,4,25,417.13,25,450.45,1297.04,79.9,88.6,medium
2020-09-19,Operations,6,46,268.31,185,325.48,703.22,76.3,70.1,high
2020-09-20,HR,5,32,462.56,139,622.37,834.14,66.1,73.6,high
2020-09-21,Operations,7,39,95.93,125,88.25,226.8,81.7,82.3,medium
2020-09-24,Operations,7,23,128.62,31,148.45,334.37,71.2,79.5,medium
2020-09-24,HR,4,23,289.46,17,309.84,477.78,78.8,87.7,medium
2020-09-25,Sales,5,26,128.59,184,134.3,278.64,73.9,84.4,low
2020-09-26,Sales,5,16,424.62,34,342.22,1110.02,93.6,90.2,low
2020-09-27,Sales,6,25,158.12,168,162.8,294.01,77.4,75.4,low
2020-09-27,Operations,4,33,79.91,161,79.53,243.95,82.0,85.0,low
2020-09-28,IT,5,23,210.6,154,191.55,584.61,76.8,84.8,low
2020-09-29,Marketing,7,40,426.24,137,643.08,772.08,61.1,65.7,high
2020-09-30,Operations,8,39,331.78,105,466.89,905.14,57.9,70.9,high
2020-10-03,IT,9,20,455.3,159,473.15,1257.02,83.3,77.9,medium
2020-10-03,HR,3,16,266.33,90,166.12,479.48,95.0,100.0,low
2020-10-03,Finance,5,26,99.95,193,86.69,209.13,82.9,92.2,low
2020-10-03,Finance,3,34,270.42,146,139.83,522.61,100.0,100.0,low
2020-10-05,IT,7,16,435.95,66,319.75,846.9,99.3,97.7,medium
2020-10-06,Finance,3,7,198.19,177,186.41,336.36,91.1,82.3,low
2020-10-06,IT,6,43,202.62,17,158.53,478.31,85.1,90.2,low
2020-10-09,HR,1,26,347.76,189,200.6,613.35,93.9,100.0,low
2020-10-09,R&D,3,41,63.85,15,72.57,142.31,85.8,72.0,medium
2020-10-10,Marketing,4,41,386.57,39,447.34,598.63,68.8,86.8,medium
2020-10-11,HR,8,28,146.8,38,205.24,216.78,54.0,71.3,high
2020-10-11,Finance,3,39,461.51,122,442.4,962.21,80.6,94.0,low
2020-10-14,HR,5,37,388.77,28,392.19,498.22,84.9,85.1,low
2020-10-15,Marketing,6,27,493.23,104,574.92,726.11,76.3,86.2,medium
2020-10-15,IT,6,44,344.55,199,472.68,804.73,60.0,82.8,high
2020-10-20,IT,5,32,216.34,158,203.42,460.26,80.1,85.9,low
2020-10-22,Finance,8,27,392.57,151,415.65,776.74,79.2,79.7,medium
2020-10-24,R&D,7,20,227.66,44,192.56,589.2,92.9,89.7,medium
2020-10-27,R&D,6,22,174.65,34,132.44,505.49,90.7,94.7,low
2020-10-28,Marketing,9,26,397.21,97,374.05,753.51,84.3,88.2,medium
2020-10-28,Marketing,3,51,319.39,126,275.68,514.85,91.8,94.5,low
2020-10-30,Finance,3,32,61.46,173,49.29,124.65,84.8,97.2,low
2020-10-31,R&D,8,36,75.05,177,72.05,234.07,84.0,93.6,medium
2020-10-31,Sales,6,34,375.62,170,421.2,841.79,66.9,75.5,medium
2020-11-04,Sales,5,14,133.09,47,119.58,285.26,88.1,87.3,low
2020-11-09,IT,3,24,426.0,182,338.2,1116.13,86.4,88.7,low
2020-11-09,Operations,11,12,107.02,17,152.36,316.15,56.2,64.4,high
2020-11-11,Marketing,10,38,485.54,79,731.89,856.69,54.5,69.9,high
2020-11-11,Finance,8,36,130.4,41,100.72,193.67,98.1,100.0,medium
2020-11-13,Sales,6,40,210.86,162,237.12,582.73,78.8,85.4,medium
2020-11-16,IT,8,25,402.5,38,394.1,1016.09,87.9,93.4,medium
2020-11-18,IT,4,33,332.4,48,174.1,800.72,100.0,100.0,low
2020-11-18,Sales,4,29,393.95,130,284.71,1083.6,98.6,85.1,low
2020-11-20,Marketing,7,24,398.14,114,308.29,774.97,92.5,97.8,medium
2020-11-21,Sales,3,31,425.35,110,262.83,1009.6,100.0,100.0,low
2020-11-22,Marketing,4,35,148.54,175,96.0,238.52,100.0,99.8,low
2020-11-25,Marketing,1,25,170.87,117,154.05,318.5,87.1,95.2,low
2020-11-26,R&D,5,22,337.98,75,193.52,914.56,100.0,100.0,low
2020-11-26,R&D,6,26,485.89,135,589.37,1413.76,68.7,82.3,high
2020-12-01,Finance,5,30,365.88,139,360.32,753.91,82.2,80.1,low
2020-12-03,R&D,2,5,438.6,109,240.85,1001.22,99.4,100.0,low
2020-12-03,Marketing,7,29,467.24,86,574.4,907.37,79.0,72.4,high
2020-12-03,Marketing,5,50,124.69,105,150.09,241.68,76.3,76.6,high
2020-12-04,HR,8,37,189.68,86,208.04,231.94,66.2,85.2,medium
2020-12-05,Operations,8,21,292.16,196,343.21,735.26,69.2,73.9,medium
2020-12-05,R&D,6,38,288.45,87,208.06,721.84,96.5,97.1,low
2020-12-06,R&D,10,18,403.23,84,465.26,1262.55,63.4,74.9,medium
2020-12-07,Marketing,6,25,385.64,99,281.03,584.83,85.8,98.4,low
2020-12-07,IT,6,24,300.62,195,299.72,807.24,84.6,81.0,low
2020-12-07,IT,11,28,420.88,100,418.14,897.05,76.0,84.1,high
2020-12-09,R&D,7,16,136.33,164,133.34,353.64,83.4,89.6,medium
2020-12-09,R&D,5,30,294.59,148,267.34,760.03,90.5,92.3,low
2020-12-11,Finance,7,31,490.3,93,562.46,819.41,72.7,85.6,medium
2020-12-11,HR,5,28,264.23,180,242.87,366.7,82.7,92.7,low
2020-12-11,Finance,6,30,454.47,84,464.72,938.57,74.3,78.7,low
2020-12-11,IT,5,19,289.17,188,171.84,608.19,100.0,100.0,low
2020-12-13,Operations,8,34,232.97,56,268.24,600.81,79.2,74.6,medium
2020-12-13,R&D,3,30,235.94,146,213.44,652.76,88.3,94.7,low
2020-12-13,IT,6,25,168.16,54,128.88,392.02,90.5,100.0,low
2020-12-14,Operations,4,36,205.46,40,207.25,609.7,74.1,83.0,low
2020-12-14,HR,4,18,99.98,122,126.61,179.53,76.2,86.9,high
2020-12-15,Marketing,5,50,210.3,90,316.2,444.79,49.4,74.0,high
2020-12-19,Finance,5,31,343.68,126,366.45,500.34,65.4,84.3,medium
2020-12-22,R&D,10,13,411.64,27,508.92,1062.9,67.1,78.7,high
2020-12-23,Marketing,6,28,372.64,137,273.71,635.4,88.4,93.3,low
2020-12-24,HR,1,40,411.15,100,310.6,532.95,79.6,94.8,low
2020-12-26,Finance,4,23,142.71,89,114.97,296.23,83.9,89.5,low
2020-12-30,HR,6,37,193.21,116,227.21,272.79,69.7,81.1,medium
2020-12-30,Sales,7,27,122.14,118,126.53,260.44,87.0,84.3,medium
2021-01-01,Sales,6,33,182.19,146,201.33,356.63,79.3,81.1,medium
